file_a,file_b,cochange_count,jaccard
backend/app/services/agentic/contracts.py,backend/app/services/agentic/extraction.py,2,1.000000
README.md,backend/app/main.py,4,0.222222
README.md,backend/app/routers/v2_jobs.py,2,0.222222
README.md,backend/app/services/parsing/v2_annotations.py,2,0.222222
README.md,backend/app/services/parsing/v2_contracts.py,2,0.222222
README.md,backend/app/services/parsing/v2_evaluation.py,2,0.222222
README.md,backend/app/services/parsing/v2_pipeline.py,2,0.222222
README.md,backend/app/services/parsing/v2_segmentation.py,2,0.222222
README.md,backend/app/services/v2_jobs.py,2,0.222222
README.md,backend/app/services/v2_tasks.py,2,0.222222
README.md,backend/app/services/v2_worker.py,2,0.222222
README.md,backend/tests/unit/test_app_surface.py,2,0.222222
README.md,backend/tests/unit/test_auth.py,2,0.222222
README.md,backend/tests/unit/test_v2_annotations.py,2,0.222222
README.md,backend/tests/unit/test_v2_api.py,2,0.222222
README.md,backend/tests/unit/test_v2_contracts.py,2,0.222222
README.md,backend/tests/unit/test_v2_evaluation.py,2,0.222222
README.md,backend/tests/unit/test_v2_page_processor.py,2,0.222222
README.md,backend/tests/unit/test_v2_queue.py,2,0.222222
README.md,backend/tests/unit/test_v2_task_leases.py,2,0.222222
README.md,backend/tests/unit/test_v2_worker.py,2,0.222222
README.md,frontend/src/app/globals.css,3,0.272727
README.md,frontend/src/app/page.test.tsx,2,0.181818
README.md,frontend/src/app/page.tsx,2,0.181818
README.md,frontend/src/lib/api.ts,4,0.400000
backend/app/main.py,backend/app/routers/v2_jobs.py,2,0.153846
backend/app/main.py,backend/app/services/parsing/v2_annotations.py,2,0.153846
backend/app/main.py,backend/app/services/parsing/v2_contracts.py,2,0.153846
backend/app/main.py,backend/app/services/parsing/v2_evaluation.py,2,0.153846
backend/app/main.py,backend/app/services/parsing/v2_pipeline.py,2,0.153846
backend/app/main.py,backend/app/services/parsing/v2_segmentation.py,2,0.153846
backend/app/main.py,backend/app/services/v2_jobs.py,2,0.153846
backend/app/main.py,backend/app/services/v2_tasks.py,2,0.153846
backend/app/main.py,backend/app/services/v2_worker.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_app_surface.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_auth.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_annotations.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_api.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_contracts.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_evaluation.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_page_processor.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_queue.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_task_leases.py,2,0.153846
backend/app/main.py,backend/tests/unit/test_v2_worker.py,2,0.153846
backend/app/main.py,frontend/src/app/globals.css,3,0.200000
backend/app/main.py,frontend/src/app/page.test.tsx,2,0.133333
backend/app/main.py,frontend/src/app/page.tsx,2,0.133333
backend/app/main.py,frontend/src/lib/api.ts,4,0.285714
backend/app/routers/v2_jobs.py,backend/app/services/parsing/v2_annotations.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/parsing/v2_contracts.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/parsing/v2_evaluation.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/parsing/v2_pipeline.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/parsing/v2_segmentation.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/v2_jobs.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/v2_tasks.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/app/services/v2_worker.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_app_surface.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_auth.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_annotations.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_api.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_contracts.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_evaluation.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_page_processor.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_queue.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_task_leases.py,2,1.000000
backend/app/routers/v2_jobs.py,backend/tests/unit/test_v2_worker.py,2,1.000000
backend/app/routers/v2_jobs.py,frontend/src/app/globals.css,2,0.400000
backend/app/routers/v2_jobs.py,frontend/src/app/page.test.tsx,2,0.500000
backend/app/routers/v2_jobs.py,frontend/src/app/page.tsx,2,0.500000
backend/app/routers/v2_jobs.py,frontend/src/lib/api.ts,2,0.400000
backend/app/services/parsing/v2_annotations.py,backend/app/services/parsing/v2_contracts.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/parsing/v2_evaluation.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/parsing/v2_pipeline.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/parsing/v2_segmentation.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/v2_jobs.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/v2_tasks.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/app/services/v2_worker.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_app_surface.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_auth.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_annotations.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_api.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_contracts.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_evaluation.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_page_processor.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_queue.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_task_leases.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,backend/tests/unit/test_v2_worker.py,2,1.000000
backend/app/services/parsing/v2_annotations.py,frontend/src/app/globals.css,2,0.400000
backend/app/services/parsing/v2_annotations.py,frontend/src/app/page.test.tsx,2,0.500000
backend/app/services/parsing/v2_annotations.py,frontend/src/app/page.tsx,2,0.500000
backend/app/services/parsing/v2_annotations.py,frontend/src/lib/api.ts,2,0.400000
backend/app/services/parsing/v2_contracts.py,backend/app/services/parsing/v2_evaluation.py,2,1.000000
backend/app/services/parsing/v2_contracts.py,backend/app/services/parsing/v2_pipeline.py,2,1.000000
